Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2019-10-17,7995.73,8130.71,7936.71,8073.32,5395.88599206,43466038.755482,8055.4034720975
2019-10-16,8162.45,8179.1,7912.66,7995.89,8644.40011646,69316753.565723,8018.6887038853
2019-10-15,8353.33,8420.85,8086.0,8155.13,5044.66127938,41647353.507026,8255.7284226909
2019-10-14,8278.39,8416.67,8215.41,8362.99,4294.6073892,35705415.187484,8314.0114920109
2019-10-13,8303.43,8474.48,8132.91,8282.96,4445.28381368,37082713.918164,8342.0351708579
2019-10-12,8265.16,8427.76,8254.68,8303.43,1828.83312447,15246382.979177,8336.6725893024
2019-10-11,8589.08,8820.0,8222.88,8265.55,7824.58718752,66027648.855724,8438.483369581
2019-10-10,8586.57,8666.84,8450.61,8582.11,7435.43199033,63608562.979177,8554.7905033497
2019-10-09,8185.85,8707.8,8110.0,8586.34,11634.19484623,98328556.671997,8451.6855675543
2019-10-08,8211.04,8344.12,8109.74,8178.54,3577.72287319,29364663.637798,8207.6406358482
2019-10-07,7863.75,8313.7,7763.54,8205.53,9363.32718459,75585498.648182,8072.5042667077
2019-10-06,8150.73,8176.46,7772.71,7854.12,6454.53572694,51315707.402635,7950.3328470944
2019-10-05,8157.89,8195.0,8016.26,8145.17,4445.10406787,36017535.44823,8102.7429050697
2019-10-04,8243.39,8244.93,7986.65,8152.07,6278.78141904,51161374.456939,8148.2967860286
2019-10-03,8377.68,8419.23,8029.14,8239.92,8701.12039607,71397271.088847,8205.5261666181
2019-10-02,8326.41,8393.39,8170.91,8373.42,4952.5341152,40874459.882581,8253.2414581723
2019-10-01,8304.47,8531.25,8195.42,8319.01,10224.59198253,85718023.200365,8383.5152881235
2019-09-30,8060.13,8368.5,7714.7,8298.45,9518.99210777,76794640.313073,8067.5180148945
2019-09-29,8218.07,8244.07,7902.66,8047.6,5366.5707177,43218226.927022,8053.2297439928
2019-09-28,8199.96,8356.4,8009.84,8218.07,6315.48953894,51567016.489038,8165.1653717556
2019-09-27,8055.25,8294.04,7866.0,8187.72,10165.85293694,81670753.093408,8033.8318486429
2019-09-26,8443.44,8467.89,7733.99,8055.03,16662.32021152,135420525.36522,8127.3510319165
2019-09-25,8536.71,8746.83,8216.0,8432.16,17435.8678913,147110144.95135,8437.213786459
2019-09-24,9685.69,9782.0,7998.0,8536.82,28154.41355726,248668254.70055,8832.3009887884
2019-09-23,10022.38,10048.06,9606.0,9682.19,5447.96313246,53515870.749389,9823.0970820142
2019-09-22,9973.0,10093.24,9842.35,10020.58,3213.9540957,32059845.815176,9975.2033976059
2019-09-21,10169.02,10180.43,9913.35,9985.28,4148.89981496,41546389.892938,10013.83300294
2019-09-20,10284.72,10308.04,10055.0,10169.02,4463.38202069,45340500.132059,10158.328353227
2019-09-19,10161.59,10380.07,9600.0,10271.53,7455.91141166,74330211.452767,9969.2991706587
2019-09-18,10182.96,10263.65,10080.0,10152.09,3952.00683587,40255745.61632,10186.152830239
2019-09-17,10257.2,10280.53,10130.59,10195.73,5078.59865576,51836062.119704,10206.764824961
2019-09-16,10320.36,10378.07,10060.95,10269.98,5496.03749388,56202919.44455,10226.080063525
2019-09-15,10362.52,10383.2,10258.49,10305.74,2297.72276878,23678550.436674,10305.225137864
2019-09-14,10365.81,10441.47,10217.01,10355.37,2656.15453049,27508865.401685,10356.650972641
2019-09-13,10423.99,10458.13,10153.87,10368.65,3755.41742244,38681903.561508,10300.294004701
2019-09-12,10163.81,10465.0,10027.52,10420.34,4719.04668642,48386409.646392,10253.42889394
2019-09-11,10093.39,10243.01,9855.11,10154.46,4614.34849343,46415583.396864,10058.967904776
2019-09-10,10317.62,10390.09,9910.0,10096.0,4658.92141056,47153844.309828,10121.193330917
2019-09-09,10387.33,10542.93,10060.0,10307.45,6059.76274364,62421152.934118,10300.923579827
2019-09-08,10497.57,10594.88,10229.49,10400.18,3130.86103548,32602031.643458,10413.119992871
2019-09-07,10309.04,10580.0,10297.58,10484.39,3148.50895336,32951131.733718,10465.630627651
2019-09-06,10573.04,10949.0,10204.18,10311.09,10701.50994422,113795476.16698,10633.590657778
2019-09-05,10586.26,10664.13,10461.97,10573.66,4555.62463429,48103450.418882,10559.133879646
2019-09-04,10617.72,10834.15,10378.7,10586.26,10088.7236301,106597637.78674,10566.018229373
2019-09-03,10384.07,10783.0,10286.0,10617.61,11443.53849727,120927751.36613,10567.339061688
2019-09-02,9767.56,10471.0,9753.24,10384.48,6144.79883515,62231973.855006,10127.585218742
2019-09-01,9593.5,9832.0,9538.75,9767.53,1799.36720121,17385154.884313,9661.8160387842
2019-08-31,9569.3,9682.73,9443.19,9594.15,1572.15542709,15068565.554893,9584.6538422632
2019-08-30,9490.56,9700.0,9350.1,9579.75,5317.3097001,50745922.278065,9543.5333166904
2019-08-29,9720.2,9720.2,9320.0,9490.0,7717.10637568,73190665.171874,9484.2109994142
2019-08-28,10171.39,10280.71,9555.0,9711.78,9303.15591906,92139450.455282,9904.1068704985
2019-08-27,10355.11,10375.53,10019.1,10167.29,4781.3350218,48582567.25003,10160.87913282
2019-08-26,10136.75,10650.0,10136.75,10360.97,7166.67534085,74427752.304002,10385.255193543
2019-08-25,10149.38,10355.89,9907.86,10136.75,3953.39528117,39932862.822341,10100.903143316
2019-08-24,10401.87,10432.0,9885.48,10149.7,5106.55673687,51560324.934771,10096.886726529
2019-08-23,10112.45,10479.0,10051.0,10401.6,5557.29144342,57205208.908666,10293.721229323
2019-08-22,10123.56,10238.29,9755.53,10112.01,6710.30664788,67141742.797917,10005.763718582
2019-08-21,10778.75,10807.54,9853.45,10134.75,9812.62171129,99715196.708438,10161.932217738
2019-08-20,10927.3,10955.48,10549.74,10772.22,5883.59995275,63258208.571566,10751.616200894
2019-08-19,10318.99,10940.0,10267.56,10927.3,8044.02134828,85921192.474514,10681.373004174
2019-08-18,10221.94,10515.0,10065.41,10318.99,3398.41986671,35070670.108016,10319.699002339
2019-08-17,10351.18,10472.93,9974.51,10210.89,3907.52839849,39960850.308861,10226.630809466
2019-08-16,10294.9,10540.0,9736.96,10354.34,11080.39966131,112415461.63206,10145.433835261
2019-08-15,10022.5,10444.66,9467.57,10301.44,15083.17326332,149955048.45482,9941.8766752142
2019-08-14,10862.25,10862.25,9888.57,10022.99,12678.9411947,131558630.9662,10376.152783262
2019-08-13,11380.61,11446.94,10738.58,10862.28,9003.17888634,99425694.617022,11043.398767504
2019-08-12,11527.44,11551.57,11194.04,11385.11,3417.70935664,38863136.432719,11371.106310493
2019-08-11,11273.03,11589.73,11080.37,11528.73,4361.39069182,49596364.040399,11371.685672054
2019-08-10,11859.32,11976.68,11200.0,11273.2,7447.24834124,85889772.904154,11533.088325863
2019-08-09,11985.6,12040.0,11650.0,11859.32,7336.91484905,86686857.779352,11815.164761054
2019-08-08,11973.46,12061.1,11450.93,11983.43,10144.46210884,119651274.83731,11794.738208253
2019-08-07,11471.58,12145.42,11388.01,11971.57,15480.45524249,182167600.36743,11767.586774026
2019-08-06,11800.0,12325.0,11200.0,11470.0,16420.57916354,193547554.61798,11786.88965172
2019-08-05,10986.55,11959.36,10986.55,11800.0,17260.45577332,201353715.35596,11665.608255096
2019-08-04,10812.58,11085.99,10564.96,10986.96,7556.32923024,81929591.534257,10842.512156085
2019-08-03,10529.51,10919.0,10502.8,10821.52,6996.11722818,75441657.319986,10783.360950001
2019-08-02,10416.79,10670.0,10318.47,10529.51,9286.86172741,97381562.113235,10485.949395135
2019-08-01,10096.01,10499.0,9878.09,10407.71,7681.73235986,77733048.800718,10119.208162849
2019-07-31,9592.26,10143.2,9574.09,10085.34,7917.5084772,78200173.686343,9876.866429829
2019-07-30,9508.21,9775.0,9373.48,9593.62,5533.97118529,52939667.091004,9566.3069644678
2019-07-29,9538.73,9725.17,9360.0,9495.39,5068.6543093,48310068.326537,9531.142859338
2019-07-28,9467.84,9634.5,9111.0,9533.19,3860.8348169,36403147.173248,9428.8279348032
